cell,sample,age,condition,age_condition,celltype,umap_1,umap_2,gene,raw_count,detected,lognorm_expr
cell_82,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.318253,10.764099,Gls,9.0,True,3.3658808112586502
cell_83,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.319826,11.03695,Gls,1.0,True,1.9896715422511266
cell_84,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.96364,6.1130123,Gls,4.0,True,1.501060949529488
cell_85,15dayS1,P15,Ctrl,P15_Ctrl,AC,-1.0833794,-0.30668366,Gls,4.0,True,0.9581531201997033
cell_86,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.111401,-6.175055,Gls,0.0,False,0.0
cell_87,15dayS1,P15,Ctrl,P15_Ctrl,Cones,20.02222,-3.4309556,Gls,0.0,False,0.0
cell_88,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.759413,10.173282,Gls,1.0,True,1.200994395571675
cell_89,15dayS1,P15,Ctrl,P15_Ctrl,AC,-0.44436696,-1.521191,Gls,2.0,True,1.1508126909557046
cell_90,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.894138,9.237984,Gls,0.0,False,0.0
cell_91,15dayS1,P15,Ctrl,P15_Ctrl,MG,2.391946,5.264839,Gls,0.0,False,0.0
cell_92,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.758249,12.518401,Gls,0.0,False,0.0
cell_93,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.821337,11.885383,Gls,6.0,True,2.3881045634701668
cell_94,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.491552,7.247461,Gls,1.0,True,0.7400357863417153
cell_95,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.917068,12.438522,Gls,0.0,False,0.0
cell_96,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.3904643,-6.735174,Gls,1.0,True,1.3984157216522355
cell_97,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.919549,11.53888,Gls,3.0,True,2.3132745688163707
cell_98,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.208666,8.318715,Gls,0.0,False,0.0
cell_99,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.863109,12.591993,Gls,3.0,True,2.2072425502064985
cell_100,15dayS1,P15,Ctrl,P15_Ctrl,AC,-1.7218679,-4.5744915,Gls,2.0,True,0.8225619430028707
cell_101,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.05612,6.8936,Gls,0.0,False,0.0
cell_102,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.609022,10.420962,Gls,0.0,False,0.0
cell_103,15dayS1,P15,Ctrl,P15_Ctrl,MG,1.031744,12.285501,Gls,1.0,True,0.4539260310479661
cell_104,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.729074,12.017185,Gls,1.0,True,1.7152176656325857
cell_105,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.745684,10.602243,Gls,4.0,True,2.805052905993226
cell_106,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.593594,8.968966,Gls,4.0,True,2.4692627056942063
cell_107,15dayS1,P15,Ctrl,P15_Ctrl,Rod,15.254149,12.198633,Gls,2.0,True,1.807344637894443
cell_108,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.918591,12.066566,Gls,0.0,False,0.0
cell_109,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.825771,9.478579,Gls,2.0,True,2.100594854755282
cell_110,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.88754,10.527326,Gls,0.0,False,0.0
cell_111,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.386818,12.3143425,Gls,0.0,False,0.0
cell_112,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.77267,12.4030695,Gls,3.0,True,1.9455673702585383
cell_113,15dayS1,P15,Ctrl,P15_Ctrl,MG,2.465972,5.147744,Gls,0.0,False,0.0
cell_114,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.74011,10.967832,Gls,2.0,True,1.845602163757656
cell_115,15dayS1,P15,Ctrl,P15_Ctrl,BC,6.2868667,-8.723074,Gls,3.0,True,1.6406614520841023
cell_116,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.339516,12.588393,Gls,2.0,True,1.2333745254879276
cell_117,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.486625,11.193283,Gls,0.0,False,0.0
cell_118,15dayS1,P15,Ctrl,P15_Ctrl,AC,-0.23440248,0.802954,Gls,4.0,True,1.291960473330787
cell_119,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.800457,11.760553,Gls,1.0,True,1.5565675793976708
cell_120,15dayS1,P15,Ctrl,P15_Ctrl,AC,0.46357587,-0.017057851,Gls,5.0,True,1.1539834235761572
cell_121,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.19733,9.5365715,Gls,1.0,True,1.2325992275764195
cell_122,15dayS1,P15,Ctrl,P15_Ctrl,BC,12.273415,-4.904389,Gls,1.0,True,1.4564163525066791
cell_123,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.1935534,-7.060632,Gls,1.0,True,0.43538225199081154
cell_124,15dayS1,P15,Ctrl,P15_Ctrl,Rod,15.599092,11.18432,Gls,1.0,True,1.3970398296279731
cell_125,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.441769,7.6986523,Gls,0.0,False,0.0
cell_126,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.3497357,-6.7922792,Gls,1.0,True,0.5013550632362176
cell_127,15dayS1,P15,Ctrl,P15_Ctrl,Cones,18.615292,-6.635598,Gls,3.0,True,1.5580459413016183
cell_128,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.418448,11.274252,Gls,0.0,False,0.0
cell_129,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.800987,9.9191265,Gls,0.0,False,0.0
cell_130,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.227701,9.678217,Gls,2.0,True,1.810759407472959
cell_131,15dayS1,P15,Ctrl,P15_Ctrl,AC,-2.573962,0.7943218,Gls,2.0,True,1.0728266163362095
cell_132,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.160281,11.881678,Gls,1.0,True,1.7963575628536814
cell_133,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.461351,11.764003,Gls,0.0,False,0.0
cell_134,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.92396,10.811554,Gls,1.0,True,1.0416372433076333
cell_135,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.328035,10.052357,Gls,0.0,False,0.0
cell_136,15dayS1,P15,Ctrl,P15_Ctrl,AC,-2.594157,-5.157435,Gls,10.0,True,1.6926754946846863
cell_137,15dayS1,P15,Ctrl,P15_Ctrl,BC,10.919893,-10.662601,Gls,3.0,True,1.4889624683114058
cell_138,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.670433,11.698239,Gls,3.0,True,2.7824877707530127
cell_139,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.6282735,-7.207199,Gls,3.0,True,1.1770650793045352
cell_140,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.132542,11.356493,Gls,0.0,False,0.0
cell_141,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.836757,12.091067,Gls,0.0,False,0.0
cell_142,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.535572,7.9788957,Gls,1.0,True,1.5920667689538806
cell_143,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.54248,10.075971,Gls,0.0,False,0.0
cell_144,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.693893,10.1634,Gls,0.0,False,0.0
cell_145,15dayS1,P15,Ctrl,P15_Ctrl,Rod,3.507791,-6.2311273,Gls,0.0,False,0.0
cell_146,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.602283,6.410302,Gls,0.0,False,0.0
cell_147,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.457375,-6.4301877,Gls,1.0,True,1.2435541480171437
cell_148,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.503232,10.674232,Gls,1.0,True,2.0006501820309803
cell_149,15dayS1,P15,Ctrl,P15_Ctrl,BC,13.23704,-9.41056,Gls,14.0,True,1.9962004286322519
cell_150,15dayS1,P15,Ctrl,P15_Ctrl,AC,-0.034600683,3.8476088,Gls,0.0,False,0.0
cell_151,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.336614,12.383775,Gls,2.0,True,1.6848688061171004
cell_152,15dayS1,P15,Ctrl,P15_Ctrl,Rod,15.504666,13.2833805,Gls,5.0,True,2.166944074255686
cell_153,15dayS1,P15,Ctrl,P15_Ctrl,Rod,19.369755,9.127135,Gls,0.0,False,0.0
cell_154,15dayS1,P15,Ctrl,P15_Ctrl,Rod,15.150427,12.359513,Gls,1.0,True,1.5057518193944692
cell_155,15dayS1,P15,Ctrl,P15_Ctrl,Cones,20.089298,-5.3599586,Gls,5.0,True,1.9395939792010246
cell_156,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.959028,8.608075,Gls,3.0,True,2.401844005224061
cell_157,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.139776,11.919005,Gls,1.0,True,1.3490807647794563
cell_158,15dayS1,P15,Ctrl,P15_Ctrl,AC,-1.1145248,-0.42147186,Gls,1.0,True,0.3262364152432337
cell_159,15dayS1,P15,Ctrl,P15_Ctrl,Cones,18.710186,-7.1782866,Gls,6.0,True,1.5211291610351154
cell_160,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.7279625,12.631083,Gls,0.0,False,0.0
cell_161,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.50798,6.381006,Gls,0.0,False,0.0
cell_162,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.728672,10.13027,Gls,1.0,True,1.2129843119635926
cell_163,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.322844,7.9343143,Gls,6.0,True,3.3100036078828627
cell_164,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.493126,7.1421757,Gls,1.0,True,1.0943637427130248
cell_165,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.775868,13.387649,Gls,1.0,True,1.218660690329983
cell_166,15dayS1,P15,Ctrl,P15_Ctrl,Cones,17.865892,-2.7995706,Gls,3.0,True,1.4949269304267587
cell_167,15dayS1,P15,Ctrl,P15_Ctrl,Rod,15.85791,12.849777,Gls,0.0,False,0.0
cell_168,15dayS1,P15,Ctrl,P15_Ctrl,AC,-0.27406472,0.83595395,Gls,1.0,True,0.5624374541587285
cell_169,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.210455,10.93459,Gls,0.0,False,0.0
cell_170,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.603516,10.197936,Gls,3.0,True,2.83572669756275
cell_171,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.849365,7.2925224,Gls,1.0,True,1.671057670351505
cell_172,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.240339,11.384663,Gls,1.0,True,1.4740770455137444
cell_173,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.198755,8.989516,Gls,5.0,True,2.626153924779351
cell_174,15dayS1,P15,Ctrl,P15_Ctrl,BC,9.877931,-12.151335,Gls,12.0,True,2.189733850379858
cell_175,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.578825,9.684231,Gls,3.0,True,2.0159148006386958
cell_176,15dayS1,P15,Ctrl,P15_Ctrl,Rod,3.8040936,-6.1923165,Gls,0.0,False,0.0
cell_177,15dayS1,P15,Ctrl,P15_Ctrl,Cones,18.731434,-6.8551497,Gls,19.0,True,2.381925034501799
cell_178,15dayS1,P15,Ctrl,P15_Ctrl,BC,13.052945,-6.562564,Gls,8.0,True,1.9891267505550958
cell_179,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.44892,11.996951,Gls,3.0,True,1.6895349812285765
cell_180,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.584557,11.957209,Gls,1.0,True,1.4531442653088638
cell_181,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.703814,10.5026865,Gls,2.0,True,1.9673855005393495
cell_182,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.421163,11.227026,Gls,0.0,False,0.0
cell_183,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.849888,9.1450405,Gls,3.0,True,2.508515888389064
cell_184,15dayS1,P15,Ctrl,P15_Ctrl,AC,-0.5657144,2.0222592,Gls,0.0,False,0.0
cell_185,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.89111,11.536421,Gls,4.0,True,2.3728223261285772
cell_186,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.957802,10.298371,Gls,4.0,True,2.58891156723466
cell_187,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.658817,8.900528,Gls,0.0,False,0.0
cell_188,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.948151,11.001733,Gls,1.0,True,1.4627576008684886
cell_189,15dayS1,P15,Ctrl,P15_Ctrl,Rod,19.38243,10.202665,Gls,0.0,False,0.0
cell_190,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.039913,10.324491,Gls,1.0,True,1.3480250333864663
cell_191,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.961725,10.005332,Gls,0.0,False,0.0
cell_192,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.800309,11.124683,Gls,0.0,False,0.0
cell_193,15dayS1,P15,Ctrl,P15_Ctrl,Rod,3.902834,-6.395321,Gls,0.0,False,0.0
cell_194,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.63236,10.456758,Gls,0.0,False,0.0
cell_195,15dayS1,P15,Ctrl,P15_Ctrl,Cones,18.901527,-6.856541,Gls,9.0,True,1.8455273369127394
cell_196,15dayS1,P15,Ctrl,P15_Ctrl,MG,1.4619701,11.345809,Gls,0.0,False,0.0
cell_197,15dayS1,P15,Ctrl,P15_Ctrl,MG,0.6773685,11.274471,Gls,2.0,True,0.7614397745713997
cell_198,15dayS1,P15,Ctrl,P15_Ctrl,Rod,3.362638,-5.469439,Gls,0.0,False,0.0
cell_199,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.4639606,-6.97826,Gls,4.0,True,1.3322077688267275
cell_200,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.379658,9.178866,Gls,0.0,False,0.0
cell_201,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.080257,10.744079,Gls,1.0,True,1.357595466188316
cell_202,15dayS1,P15,Ctrl,P15_Ctrl,AC,-0.7602142,0.93948454,Gls,4.0,True,0.9809594799975462
cell_203,15dayS1,P15,Ctrl,P15_Ctrl,BC,8.4157,-7.9462914,Gls,10.0,True,1.6835108085605295
cell_204,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.219677,7.8650036,Gls,3.0,True,2.2562278642714446
cell_205,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.840172,12.24718,Gls,0.0,False,0.0
cell_206,15dayS1,P15,Ctrl,P15_Ctrl,BC,11.8257,-12.880614,Gls,8.0,True,2.547769002511103
cell_207,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.745365,9.257676,Gls,1.0,True,1.4034876336393463
cell_208,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.771778,10.559439,Gls,1.0,True,1.4686490303657849
cell_209,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.476988,6.2801685,Gls,0.0,False,0.0
cell_210,15dayS1,P15,Ctrl,P15_Ctrl,Rod,3.1936045,9.282964,Gls,0.0,False,0.0
cell_211,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.573214,9.6889305,Gls,1.0,True,1.4911814428667027
cell_212,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.253445,6.7464337,Gls,1.0,True,1.5951915298158996
cell_213,15dayS1,P15,Ctrl,P15_Ctrl,BC,13.533932,-3.2968764,Gls,6.0,True,1.77964077954671
cell_214,15dayS1,P15,Ctrl,P15_Ctrl,BC,13.280165,-6.858952,Gls,2.0,True,1.0391515855087754
cell_215,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.460004,10.842325,Gls,1.0,True,1.6935081435172021
cell_216,15dayS1,P15,Ctrl,P15_Ctrl,AC,-3.8973165,7.8407307,Gls,0.0,False,0.0
cell_217,15dayS1,P15,Ctrl,P15_Ctrl,BC,6.799256,-8.657536,Gls,3.0,True,1.1648355986760288
cell_218,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.870193,10.073405,Gls,0.0,False,0.0
cell_219,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.510508,11.728678,Gls,1.0,True,0.9746219084373925
cell_220,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.58297,8.6862135,Gls,0.0,False,0.0
cell_221,15dayS1,P15,Ctrl,P15_Ctrl,AC,-0.8052858,-1.4480541,Gls,1.0,True,0.6171725061420699
cell_222,15dayS1,P15,Ctrl,P15_Ctrl,BC,10.388739,-11.507747,Gls,10.0,True,2.10634292624033
cell_223,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.97757,11.621632,Gls,0.0,False,0.0
cell_224,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.282207,7.8368487,Gls,0.0,False,0.0
cell_225,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.709133,7.475877,Gls,1.0,True,1.4632676986734579
cell_226,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.061943,8.431121,Gls,3.0,True,1.793288882926619
cell_227,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.57538,13.077032,Gls,3.0,True,2.1615313329750974
cell_228,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.103498,11.412836,Gls,0.0,False,0.0
